symbol,date,open,high,low,close,volume,adjclose,splits
NVAX,1996-09-02 20:00:00-04:00,82.5,82.5,80.0,80.0,80,80.0,0.0
NVAX,1996-09-03 20:00:00-04:00,80.0,80.0,75.0,80.0,1715,80.0,0.0
NVAX,1996-09-04 20:00:00-04:00,80.0,90.0,77.5,78.75,1705,78.75,0.0
NVAX,1996-09-05 20:00:00-04:00,81.25,81.25,76.25,77.5,355,77.5,0.0
NVAX,1996-09-08 20:00:00-04:00,77.5,77.5,77.5,77.5,160,77.5,0.0
NVAX,1996-09-09 20:00:00-04:00,77.5,80.0,77.5,77.5,325,77.5,0.0
NVAX,1996-09-10 20:00:00-04:00,87.5,92.5,85.0,92.5,2825,92.5,0.0
NVAX,1996-09-11 20:00:00-04:00,95.0,102.5,95.0,96.25,1470,96.25,0.0
NVAX,1996-09-12 20:00:00-04:00,98.75,100.0,95.0,100.0,845,100.0,0.0
NVAX,1996-09-15 20:00:00-04:00,100.0,100.0,92.5,92.5,640,92.5,0.0
NVAX,1996-09-16 20:00:00-04:00,90.0,92.5,85.0,90.0,1575,90.0,0.0
NVAX,1996-09-17 20:00:00-04:00,87.5,90.0,85.0,86.25,640,86.25,0.0
NVAX,1996-09-18 20:00:00-04:00,85.0,92.5,85.0,87.5,220,87.5,0.0
NVAX,1996-09-19 20:00:00-04:00,87.5,92.5,87.5,90.0,780,90.0,0.0
NVAX,1996-09-22 20:00:00-04:00,90.0,90.0,90.0,90.0,115,90.0,0.0
NVAX,1996-09-23 20:00:00-04:00,90.0,90.0,87.5,90.0,515,90.0,0.0
NVAX,1996-09-24 20:00:00-04:00,90.0,90.0,82.5,86.25,1120,86.25,0.0
NVAX,1996-09-25 20:00:00-04:00,85.0,90.0,85.0,90.0,1045,90.0,0.0
NVAX,1996-09-26 20:00:00-04:00,87.5,91.25,87.5,90.0,370,90.0,0.0
NVAX,1996-09-29 20:00:00-04:00,87.5,90.0,85.0,90.0,570,90.0,0.0
NVAX,1996-09-30 20:00:00-04:00,90.0,90.0,90.0,90.0,310,90.0,0.0
NVAX,1996-10-01 20:00:00-04:00,92.5,92.5,87.5,90.0,270,90.0,0.0
