date,CCI_Open,CCI_High,CCI_Low,CCI_Close,CCI_Volume,CCI_Dividends,CCI_Stock Splits
2020-08-19 00:00:00+00:00,167.1300048828125,167.41000366210938,162.27999877929688,137.45579528808594,1486900,0.0,
2020-08-20 00:00:00+00:00,160.0,163.75,160.0,137.65863037109375,1261400,0.0,
2020-08-21 00:00:00+00:00,163.5,163.6199951171875,161.42999267578125,137.90371704101562,1077600,0.0,
2020-08-24 00:00:00+00:00,163.10000610351562,163.10000610351562,159.0,136.0782012939453,1144700,0.0,
2020-08-25 00:00:00+00:00,161.05999755859375,161.60000610351562,159.69000244140625,135.80775451660156,1443600,0.0,
2020-08-26 00:00:00+00:00,160.0,161.4199981689453,158.88999938964844,136.0443878173828,1828100,0.0,
2020-08-27 00:00:00+00:00,161.5,163.61000061035156,161.3800048828125,138.11502075195312,1858900,0.0,
2020-08-28 00:00:00+00:00,163.3000030517578,164.0399932861328,161.6999969482422,138.42771911621094,1781200,0.0,
2020-08-31 00:00:00+00:00,163.11000061035156,164.02999877929688,162.52999877929688,137.9713134765625,1386400,0.0,
2020-09-01 00:00:00+00:00,162.50999450683594,163.0399932861328,160.36000061035156,136.9994354248047,1148600,0.0,
2020-09-02 00:00:00+00:00,161.16000366210938,166.72000122070312,160.50999450683594,140.5321807861328,2362600,0.0,
2020-09-03 00:00:00+00:00,166.36000061035156,166.82000732421875,160.5800018310547,136.6697998046875,1749100,0.0,
2020-09-04 00:00:00+00:00,161.27999877929688,162.27000427246094,157.0,135.7232208251953,1943200,0.0,
2020-09-08 00:00:00+00:00,159.80999755859375,161.44000244140625,157.6199951171875,133.9568328857422,2921300,0.0,
2020-09-09 00:00:00+00:00,159.91000366210938,163.52999877929688,159.74000549316406,136.31478881835938,1743100,0.0,
2020-09-10 00:00:00+00:00,160.6699981689453,161.08999633789062,158.64999389648438,134.17657470703125,1892000,0.0,
2020-09-11 00:00:00+00:00,159.3800048828125,160.3000030517578,157.75999450683594,134.03292846679688,1267100,0.0,
2020-09-14 00:00:00+00:00,158.24000549316406,160.86000061035156,158.22000122070312,136.391845703125,1390100,1.2,
2020-09-15 00:00:00+00:00,160.50999450683594,165.10000610351562,160.30999755859375,139.2021484375,2093600,0.0,
2020-09-16 00:00:00+00:00,164.94000244140625,167.7899932861328,164.16000366210938,141.5099639892578,1598600,0.0,
2020-09-17 00:00:00+00:00,164.50999450683594,165.5500030517578,161.38999938964844,138.51229858398438,1819900,0.0,
2020-09-18 00:00:00+00:00,162.22999572753906,162.6199951171875,158.9199981689453,135.98306274414062,3016300,0.0,
2020-09-21 00:00:00+00:00,159.00999450683594,159.5,156.07000732421875,134.19471740722656,2017400,0.0,
2020-09-22 00:00:00+00:00,157.10000610351562,160.88999938964844,157.0500030517578,136.23855590820312,2203100,0.0,
2020-09-23 00:00:00+00:00,158.60000610351562,158.99000549316406,155.00999450683594,132.52557373046875,2495500,0.0,
