date,SGLY_Open,SGLY_High,SGLY_Low,SGLY_Close,SGLY_Volume,SGLY_Dividends,SGLY_Stock Splits
2008-11-05 00:00:00+00:00,189.5,210.0,182.0,210.0,92,,
2008-11-06 00:00:00+00:00,183.0,194.0,183.0,194.0,8,,
2008-11-07 00:00:00+00:00,167.0,208.5,167.0,208.5,174,,
2008-11-10 00:00:00+00:00,210.0,210.0,188.5,198.5,78,,
2008-11-11 00:00:00+00:00,174.0,202.0,174.0,196.5,44,,
2008-11-12 00:00:00+00:00,179.5,192.5,157.0,184.5,110,,
2008-11-13 00:00:00+00:00,175.5,197.5,175.0,195.0,70,,
2008-11-14 00:00:00+00:00,176.0,205.0,171.5,203.5,282,,
2008-11-17 00:00:00+00:00,169.0,194.5,162.5,194.5,10,,
2008-11-18 00:00:00+00:00,169.0,199.0,143.5,187.0,50,,
2008-11-19 00:00:00+00:00,192.5,192.5,149.5,186.0,46,,
2008-11-20 00:00:00+00:00,150.5,184.0,147.0,183.0,772,,
2008-11-21 00:00:00+00:00,153.0,179.5,140.0,175.0,1428,,
2008-11-24 00:00:00+00:00,146.0,183.0,146.0,183.0,134,,
2008-11-25 00:00:00+00:00,187.0,187.0,160.0,174.5,20,,
2008-11-26 00:00:00+00:00,170.0,186.0,170.0,175.0,42,,
2008-11-28 00:00:00+00:00,184.5,211.5,164.0,211.5,1918,,
2008-12-01 00:00:00+00:00,200.0,200.0,176.0,196.5,82,,
2008-12-02 00:00:00+00:00,170.0,194.5,157.5,193.5,178,,
2008-12-03 00:00:00+00:00,162.0,192.0,162.0,192.0,114,,
2008-12-04 00:00:00+00:00,166.5,185.5,158.0,185.0,378,,
2008-12-05 00:00:00+00:00,167.5,180.5,155.0,180.5,708,,
2008-12-08 00:00:00+00:00,178.5,184.0,158.5,184.0,100,,
2008-12-09 00:00:00+00:00,164.0,206.0,164.0,175.0,282,,
2008-12-10 00:00:00+00:00,215.0,310.0,212.5,295.0,10124,,
2008-12-11 00:00:00+00:00,282.5,289.5,218.5,231.5,2720,,
2008-12-12 00:00:00+00:00,215.0,224.5,172.5,199.5,1982,,
2008-12-15 00:00:00+00:00,205.5,237.0,205.5,218.5,1404,,
2008-12-16 00:00:00+00:00,237.0,237.0,196.0,196.0,758,,
2008-12-17 00:00:00+00:00,200.0,210.5,185.0,185.0,796,,
2008-12-18 00:00:00+00:00,187.5,195.5,175.0,175.0,478,,
2008-12-19 00:00:00+00:00,191.5,191.5,155.0,174.0,428,,
2008-12-22 00:00:00+00:00,150.5,162.5,150.5,154.5,640,,
2008-12-23 00:00:00+00:00,158.0,163.0,140.0,145.5,372,,
2008-12-24 00:00:00+00:00,145.0,147.5,145.0,146.0,46,,
2008-12-26 00:00:00+00:00,151.5,154.5,144.0,154.5,144,,
2008-12-29 00:00:00+00:00,149.5,149.5,130.5,149.0,286,,
2008-12-30 00:00:00+00:00,144.5,159.0,132.0,156.5,422,,
2008-12-31 00:00:00+00:00,145.0,174.5,145.0,165.0,888,,
2009-01-02 00:00:00+00:00,166.0,193.0,166.0,182.5,724,,
2009-01-05 00:00:00+00:00,177.5,181.0,175.5,181.0,136,,
2009-01-06 00:00:00+00:00,175.0,199.5,175.0,194.5,1934,,
2009-01-07 00:00:00+00:00,189.0,189.0,160.5,171.0,342,,
2009-01-08 00:00:00+00:00,171.0,195.0,165.0,183.5,1156,,
2009-01-09 00:00:00+00:00,201.0,216.5,176.5,182.0,2578,,
2009-01-12 00:00:00+00:00,185.5,185.5,156.0,168.5,418,,
2009-01-13 00:00:00+00:00,159.0,169.0,151.0,167.5,304,,
2009-01-14 00:00:00+00:00,152.5,167.0,143.0,167.0,498,,
2009-01-15 00:00:00+00:00,151.5,163.0,147.0,158.0,130,,
2009-01-16 00:00:00+00:00,149.5,158.0,148.5,158.0,334,,
2009-01-20 00:00:00+00:00,150.0,150.0,145.0,146.5,196,,
2009-01-21 00:00:00+00:00,138.0,149.0,138.0,149.0,20,,
2009-01-22 00:00:00+00:00,137.5,138.0,130.0,135.0,64,,
2009-01-23 00:00:00+00:00,130.5,132.5,130.0,130.0,40,,
2009-01-26 00:00:00+00:00,125.5,131.5,122.0,131.5,28,,
2009-01-27 00:00:00+00:00,131.0,132.0,131.0,132.0,416,,
2009-01-28 00:00:00+00:00,132.5,162.5,130.5,136.0,120,,
2009-01-29 00:00:00+00:00,133.0,133.0,128.0,128.5,42,,
2009-01-30 00:00:00+00:00,133.5,133.5,105.5,130.0,604,,
2009-02-02 00:00:00+00:00,126.0,128.0,112.0,128.0,124,,
2009-02-03 00:00:00+00:00,118.5,129.5,106.0,129.5,156,,
2009-02-04 00:00:00+00:00,126.5,130.0,120.5,130.0,40,,
2009-02-05 00:00:00+00:00,110.5,152.0,110.5,152.0,150,,
2009-02-06 00:00:00+00:00,137.0,149.5,137.0,146.5,54,,
2009-02-09 00:00:00+00:00,140.0,140.5,127.0,127.5,72,,
2009-02-10 00:00:00+00:00,128.5,132.0,128.5,132.0,24,,
2009-02-11 00:00:00+00:00,136.0,136.0,132.5,136.0,8,,
2009-02-12 00:00:00+00:00,128.5,128.5,128.5,128.5,22,,
2009-02-13 00:00:00+00:00,117.0,128.0,117.0,128.0,34,,
2009-02-17 00:00:00+00:00,114.5,128.0,114.5,128.0,10,,
2009-02-18 00:00:00+00:00,111.5,128.0,111.5,128.0,26,,
2009-02-19 00:00:00+00:00,101.5,128.5,101.5,128.0,92,,
2009-02-20 00:00:00+00:00,108.5,122.0,108.0,122.0,38,,
2009-02-23 00:00:00+00:00,110.0,110.5,100.5,110.5,90,,
2009-02-24 00:00:00+00:00,110.5,128.5,98.5,117.5,154,,
2009-02-25 00:00:00+00:00,105.0,117.5,102.5,117.5,56,,
2009-02-26 00:00:00+00:00,105.0,105.5,105.0,105.5,10,,
2009-02-27 00:00:00+00:00,115.0,117.5,94.0,102.5,206,,
2009-03-02 00:00:00+00:00,94.0,111.5,94.0,101.5,102,,
2009-03-03 00:00:00+00:00,94.5,113.0,80.0,113.0,534,,
2009-03-04 00:00:00+00:00,96.0,120.0,95.0,118.5,264,,
2009-03-05 00:00:00+00:00,95.5,115.0,95.0,112.0,100,,
2009-03-06 00:00:00+00:00,85.0,105.0,85.0,105.0,236,,
2009-03-09 00:00:00+00:00,87.5,95.0,87.5,94.5,20,,
2009-03-10 00:00:00+00:00,88.0,109.0,88.0,109.0,112,,
2009-03-11 00:00:00+00:00,88.0,111.5,88.0,108.5,92,,
2009-03-12 00:00:00+00:00,90.5,122.0,90.5,115.0,164,,
2009-03-13 00:00:00+00:00,103.5,121.0,92.5,111.5,724,,
2009-03-16 00:00:00+00:00,96.5,98.5,96.5,98.5,28,,
2009-03-17 00:00:00+00:00,96.5,108.5,95.0,108.5,96,,
2009-03-18 00:00:00+00:00,99.0,108.0,99.0,108.0,22,,
2009-03-19 00:00:00+00:00,99.5,132.0,99.5,109.0,410,,
2009-03-20 00:00:00+00:00,109.0,109.0,100.0,109.0,34,,
2009-03-23 00:00:00+00:00,109.0,112.5,101.0,112.5,116,,
2009-03-24 00:00:00+00:00,112.5,130.0,100.0,115.0,302,,
2009-03-25 00:00:00+00:00,108.5,118.5,100.0,118.5,38,,
2009-03-26 00:00:00+00:00,110.0,120.0,110.0,119.0,140,,
2009-03-27 00:00:00+00:00,119.5,134.0,119.5,130.5,102,,
2009-03-30 00:00:00+00:00,120.0,133.5,105.0,133.5,180,,
2009-03-31 00:00:00+00:00,114.5,136.5,107.5,135.0,162,,
2009-04-01 00:00:00+00:00,130.0,134.0,127.0,134.0,14,,
2009-04-02 00:00:00+00:00,134.0,134.0,119.0,125.0,44,,
2009-04-03 00:00:00+00:00,125.0,126.0,117.0,117.0,58,,
2009-04-06 00:00:00+00:00,117.0,117.0,117.0,117.0,0,,
2009-04-07 00:00:00+00:00,109.0,134.0,108.5,130.5,58,,
2009-04-08 00:00:00+00:00,119.0,133.0,118.0,133.0,42,,
